"tree","interval","lower_HPD","median","upper_HPD","prop_positive"
"Benson1","Coniacian- Maastrichtian","-0.112","-0.0536","0.00291","0.0352"
"Benson1","Aptian- Turonian","-0.04","-0.00777","0.0246","0.318"
"Benson1","Berriasian- Barremian","-0.0081","0.0371","0.0833","0.949"
"Benson1","Late Jurassic","-0.0758","0.000741","0.0719","0.509"
"Benson1","Middle Jurassic","0.0557","0.141","0.23","1"
"Benson1","Early Jurassic","-0.0984","-0.0511","-0.00458","0.0112"
"Benson1","Late Triassic","0.0415","0.0974","0.152","1"
"Benson1","Early-Mid Triassic","-0.209","0.302","1.08","0.893"
"Benson2","Coniacian- Maastrichtian","-0.108","-0.054","0.00175","0.0323"
"Benson2","Aptian- Turonian","-0.0389","-0.00756","0.0225","0.311"
"Benson2","Berriasian- Barremian","-0.00596","0.0373","0.0822","0.955"
"Benson2","Late Jurassic","-0.0757","0.000335","0.0706","0.504"
"Benson2","Middle Jurassic","0.0496","0.137","0.229","0.999"
"Benson2","Early Jurassic","-0.0854","-0.0316","0.0191","0.103"
"Benson2","Late Triassic","-0.00197","0.0694","0.141","0.961"
"Benson2","Early-Mid Triassic","-0.11","0.34","1.08","0.945"
"Lloyd1","Coniacian- Maastrichtian","-0.0763","-0.0158","0.0434","0.302"
"Lloyd1","Aptian- Turonian","-0.102","-0.0528","-0.008","0.00778"
"Lloyd1","Berriasian- Barremian","-0.15","-0.0151","0.093","0.383"
"Lloyd1","Late Jurassic","-0.0351","0.113","0.31","0.962"
"Lloyd1","Middle Jurassic","-0.0974","0.0347","0.166","0.713"
"Lloyd1","Early Jurassic","-0.205","-0.0806","0.027","0.0556"
"Lloyd1","Late Triassic","0.102","0.197","0.318","1"
"Lloyd1","Early-Mid Triassic","-0.711","0.17","1.08","0.68"
"Lloyd2","Coniacian- Maastrichtian","-0.0861","-0.0394","0.00941","0.0595"
"Lloyd2","Aptian- Turonian","-0.0941","-0.0542","-0.0194","0.000289"
"Lloyd2","Berriasian- Barremian","-0.0167","0.0485","0.113","0.932"
"Lloyd2","Late Jurassic","-0.0206","0.0604","0.14","0.932"
"Lloyd2","Middle Jurassic","-0.00232","0.0794","0.166","0.972"
"Lloyd2","Early Jurassic","-0.133","-0.0719","-0.0209","0.00309"
"Lloyd2","Late Triassic","0.0854","0.133","0.187","1"
"Lloyd2","Early-Mid Triassic","-0.099","0.065","0.287","0.801"
