"tree","interval","lower_HPD","median","upper_HPD","prop_positive"
"Benson1","Coniacian- Maastrichtian","-0.115","-0.0526","0.0127","0.0546"
"Benson1","Aptian- Turonian","-0.0448","-0.00636","0.0318","0.369"
"Benson1","Berriasian- Barremian","-0.0582","0.0144","0.0826","0.66"
"Benson1","Late Jurassic","-0.205","-0.00398","0.167","0.479"
"Benson1","Middle Jurassic","0.0727","0.279","0.526","0.997"
"Benson1","Early Jurassic","-0.872","-0.402","-0.00842","0.0123"
"Benson1","Late Triassic","0.169","0.58","1.05","0.998"
"Benson1","Early-Mid Triassic","-0.955","0.00991","1.01","0.508"
"Benson2","Coniacian- Maastrichtian","-0.114","-0.0517","0.0113","0.0542"
"Benson2","Aptian- Turonian","-0.0459","-0.00716","0.0305","0.353"
"Benson2","Berriasian- Barremian","-0.0585","0.0156","0.0833","0.676"
"Benson2","Late Jurassic","-0.198","-0.00432","0.161","0.478"
"Benson2","Middle Jurassic","0.0808","0.276","0.512","0.998"
"Benson2","Early Jurassic","-0.86","-0.386","-0.0291","0.0102"
"Benson2","Late Triassic","0.176","0.59","1.03","0.999"
"Benson2","Early-Mid Triassic","-0.957","-0.000115","0.994","0.5"
"Lloyd1","Coniacian- Maastrichtian","-0.067","0.000667","0.0697","0.508"
"Lloyd1","Aptian- Turonian","-0.153","-0.0747","-0.0122","0.00406"
"Lloyd1","Berriasian- Barremian","-0.144","0.0181","0.167","0.614"
"Lloyd1","Late Jurassic","-0.015","0.179","0.409","0.981"
"Lloyd1","Middle Jurassic","-0.641","0.00673","0.329","0.511"
"Lloyd1","Early Jurassic","-0.71","-0.0383","0.619","0.471"
"Lloyd1","Late Triassic","-0.26","0.359","0.987","0.87"
"Lloyd1","Early-Mid Triassic","-0.954","0.0557","1.03","0.541"
"Lloyd2","Coniacian- Maastrichtian","-0.108","-0.0548","0.000939","0.027"
"Lloyd2","Aptian- Turonian","-0.0487","-0.0136","0.0196","0.209"
"Lloyd2","Berriasian- Barremian","-0.117","-0.0206","0.0564","0.293"
"Lloyd2","Late Jurassic","-0.149","0.0531","0.254","0.733"
"Lloyd2","Middle Jurassic","0.0413","0.224","0.447","0.996"
"Lloyd2","Early Jurassic","-1","-0.475","-0.0735","0.00415"
"Lloyd2","Late Triassic","-0.267","0.308","0.843","0.869"
"Lloyd2","Early-Mid Triassic","-0.62","0.42","1.31","0.822"
