"tree","interval","lower_HPD","median","upper_HPD","prop_positive"
"Benson1","Coniacian- Maastrichtian","-0.249","-0.0863","0.0602","0.0981"
"Benson1","Aptian- Turonian","-0.568","-0.203","0.0557","0.0478"
"Benson1","Berriasian- Barremian","0.0519","0.34","0.759","1"
"Benson1","Late Jurassic","-0.142","-0.0442","0.0543","0.187"
"Benson1","Middle Jurassic","-0.17","-0.0373","0.0894","0.283"
"Benson1","Early Jurassic","-0.135","-0.0712","-0.00594","0.012"
"Benson1","Late Triassic","0.0638","0.143","0.221","1"
"Benson1","Early-Mid Triassic","-0.847","0.111","1.04","0.601"
"Benson2","Coniacian- Maastrichtian","-0.252","-0.0852","0.0565","0.0976"
"Benson2","Aptian- Turonian","-0.535","-0.204","0.0411","0.0388"
"Benson2","Berriasian- Barremian","0.0797","0.339","0.731","1"
"Benson2","Late Jurassic","-0.142","-0.0448","0.0523","0.18"
"Benson2","Middle Jurassic","-0.175","-0.0422","0.0847","0.258"
"Benson2","Early Jurassic","-0.111","-0.0314","0.0559","0.257"
"Benson2","Late Triassic","-0.628","0.0601","0.212","0.605"
"Benson2","Early-Mid Triassic","-0.543","0.471","1.39","0.823"
"Lloyd1","Coniacian- Maastrichtian","-0.649","-0.333","-0.108","8.89e-05"
"Lloyd1","Aptian- Turonian","0.054","0.209","0.433","0.999"
"Lloyd1","Berriasian- Barremian","-0.721","-0.338","-0.0793","0.00104"
"Lloyd1","Late Jurassic","-0.307","0.212","0.805","0.818"
"Lloyd1","Middle Jurassic","0.122","0.379","0.895","1"
"Lloyd1","Early Jurassic","-0.138","-0.0582","0.0173","0.0491"
"Lloyd1","Late Triassic","-0.734","-0.323","0.0714","0.0427"
"Lloyd1","Early-Mid Triassic","0.234","0.757","1.43","0.991"
"Lloyd2","Coniacian- Maastrichtian","-0.941","-0.469","-0.107","8.89e-05"
"Lloyd2","Aptian- Turonian","-0.687","-0.302","0.102","0.0691"
"Lloyd2","Berriasian- Barremian","0.35","0.79","1.25","1"
"Lloyd2","Late Jurassic","-0.041","0.0389","0.121","0.826"
"Lloyd2","Middle Jurassic","-0.0622","0.0572","0.178","0.826"
"Lloyd2","Early Jurassic","-0.217","-0.147","-0.0792","0"
"Lloyd2","Late Triassic","0.103","0.171","0.251","1"
"Lloyd2","Early-Mid Triassic","-0.828","0.0876","1.03","0.581"
