"tree","interval","lower_HPD","median","upper_HPD","prop_positive"
"Benson1","Coniacian- Maastrichtian","-0.243","-0.14","-0.0448","0.000948"
"Benson1","Aptian- Turonian","0.00114","0.0595","0.123","0.984"
"Benson1","Berriasian- Barremian","-0.11","-0.0224","0.0581","0.282"
"Benson1","Late Jurassic","-0.413","-0.0672","0.17","0.281"
"Benson1","Middle Jurassic","-0.0664","0.262","0.721","0.96"
"Benson1","Early Jurassic","-0.0766","0.052","0.19","0.801"
"Benson1","Late Triassic","-0.461","-0.001","0.179","0.495"
"Benson1","Early-Mid Triassic","-0.553","0.335","1.24","0.81"
"Benson2","Coniacian- Maastrichtian","-0.242","-0.139","-0.0436","0.00104"
"Benson2","Aptian- Turonian","0.000161","0.0586","0.122","0.983"
"Benson2","Berriasian- Barremian","-0.111","-0.0212","0.0602","0.293"
"Benson2","Late Jurassic","-0.43","-0.0668","0.179","0.281"
"Benson2","Middle Jurassic","-0.073","0.262","0.736","0.957"
"Benson2","Early Jurassic","-0.0766","0.0536","0.196","0.806"
"Benson2","Late Triassic","-0.492","-0.00424","0.181","0.481"
"Benson2","Early-Mid Triassic","-0.565","0.354","1.23","0.818"
"Lloyd1","Coniacian- Maastrichtian","-0.226","-0.118","-0.0201","0.00641"
"Lloyd1","Aptian- Turonian","-0.0871","-0.00337","0.0796","0.464"
"Lloyd1","Berriasian- Barremian","-0.924","-0.316","0.0747","0.0461"
"Lloyd1","Late Jurassic","-0.77","0.206","0.944","0.664"
"Lloyd1","Middle Jurassic","-1.29","-0.45","0.584","0.196"
"Lloyd1","Early Jurassic","-0.0117","0.447","1.06","0.974"
"Lloyd1","Late Triassic","0.00501","0.142","0.325","0.989"
"Lloyd1","Early-Mid Triassic","-0.869","0.0914","1.03","0.583"
"Lloyd2","Coniacian- Maastrichtian","-0.158","-0.0762","0.00408","0.0299"
"Lloyd2","Aptian- Turonian","-0.128","-0.0408","0.0356","0.125"
"Lloyd2","Berriasian- Barremian","-0.18","0.0375","0.221","0.69"
"Lloyd2","Late Jurassic","-0.293","0.0362","0.406","0.623"
"Lloyd2","Middle Jurassic","-0.646","0.0186","0.471","0.544"
"Lloyd2","Early Jurassic","-0.339","-0.0167","0.348","0.437"
"Lloyd2","Late Triassic","0.0701","0.231","0.46","1"
"Lloyd2","Early-Mid Triassic","-0.505","0.15","0.979","0.655"
