"tree","interval","lower_HPD","median","upper_HPD","prop_positive"
"Benson1","Early-Mid Triassic","0.0303","0.0579","0.0857","1"
"Benson1","Late Triassic","-0.0228","-0.00097","0.021","0.465"
"Benson1","Early Jurassic","0.0229","0.0569","0.0901","0.999"
"Benson1","Middle Jurassic","-0.0547","-0.00108","0.0516","0.483"
"Benson1","Late Jurassic","0.072","0.146","0.221","1"
"Benson1","Berriasian- Barremian","-0.0885","-0.0427","0.00423","0.0356"
"Benson1","Aptian- Turonian","0.00337","0.0532","0.104","0.984"
"Benson1","Coniacian- Maastrichtian","-0.122","0.732","3.24","0.98"
"Benson2","Early-Mid Triassic","0.0305","0.0579","0.086","1"
"Benson2","Late Triassic","-0.0226","-0.000812","0.0212","0.471"
"Benson2","Early Jurassic","0.0234","0.0577","0.0912","1"
"Benson2","Middle Jurassic","-0.057","-0.00289","0.0487","0.458"
"Benson2","Late Jurassic","0.0659","0.142","0.216","1"
"Benson2","Berriasian- Barremian","-0.0829","-0.0333","0.0151","0.0904"
"Benson2","Aptian- Turonian","-0.00175","0.0481","0.0987","0.974"
"Benson2","Coniacian- Maastrichtian","-0.104","0.718","3.11","0.981"
"Lloyd1","Early-Mid Triassic","0.0513","0.0858","0.12","1"
"Lloyd1","Late Triassic","-0.0348","-0.00925","0.0167","0.243"
"Lloyd1","Early Jurassic","-0.0118","0.0269","0.0658","0.915"
"Lloyd1","Middle Jurassic","-0.0504","0.0132","0.0786","0.658"
"Lloyd1","Late Jurassic","0.0479","0.13","0.215","0.999"
"Lloyd1","Berriasian- Barremian","-0.0824","-0.0413","-0.00131","0.0202"
"Lloyd1","Aptian- Turonian","0.0036","0.0569","0.113","0.984"
"Lloyd1","Coniacian- Maastrichtian","-1.1","0.629","3.41","0.9"
"Lloyd2","Early-Mid Triassic","0.0329","0.0565","0.08","1"
"Lloyd2","Late Triassic","-0.0292","-0.0103","0.0078","0.137"
"Lloyd2","Early Jurassic","0.0371","0.0658","0.0938","1"
"Lloyd2","Middle Jurassic","-0.0683","-0.0227","0.0241","0.169"
"Lloyd2","Late Jurassic","0.116","0.183","0.252","1"
"Lloyd2","Berriasian- Barremian","-0.0997","-0.0655","-0.0323","6.43e-05"
"Lloyd2","Aptian- Turonian","0.00833","0.0471","0.0867","0.992"
"Lloyd2","Coniacian- Maastrichtian","0.0676","0.269","0.567","0.999"
