"tree","interval","lower_HPD","median","upper_HPD","prop_positive"
"Benson1","Early-Mid Triassic","0.0155","0.0526","0.0891","0.997"
"Benson1","Late Triassic","-0.0326","-0.00216","0.0303","0.446"
"Benson1","Early Jurassic","-0.0188","0.0337","0.0839","0.897"
"Benson1","Middle Jurassic","-0.0723","0.0248","0.117","0.695"
"Benson1","Late Jurassic","0.0607","0.229","0.404","0.996"
"Benson1","Berriasian- Barremian","-0.137","-0.0564","0.0208","0.0728"
"Benson1","Aptian- Turonian","-0.0467","0.0901","0.231","0.913"
"Benson1","Coniacian- Maastrichtian","-2.76","0.0339","2.76","0.521"
"Benson2","Early-Mid Triassic","0.0148","0.0525","0.0883","0.997"
"Benson2","Late Triassic","-0.0334","-0.0022","0.0289","0.444"
"Benson2","Early Jurassic","-0.0175","0.0347","0.0851","0.907"
"Benson2","Middle Jurassic","-0.069","0.0252","0.119","0.698"
"Benson2","Late Jurassic","0.0609","0.23","0.399","0.996"
"Benson2","Berriasian- Barremian","-0.135","-0.0572","0.0197","0.0656"
"Benson2","Aptian- Turonian","-0.047","0.0895","0.23","0.914"
"Benson2","Coniacian- Maastrichtian","-2.73","0.0298","2.8","0.518"
"Lloyd1","Early-Mid Triassic","0.0349","0.0817","0.126","1"
"Lloyd1","Late Triassic","-0.0845","-0.0435","-0.0032","0.0161"
"Lloyd1","Early Jurassic","-0.0409","0.0283","0.0927","0.796"
"Lloyd1","Middle Jurassic","-0.016","0.1","0.216","0.956"
"Lloyd1","Late Jurassic","-0.0252","0.137","0.299","0.956"
"Lloyd1","Berriasian- Barremian","-0.138","-0.0451","0.0502","0.164"
"Lloyd1","Aptian- Turonian","-0.0595","0.0833","0.229","0.888"
"Lloyd1","Coniacian- Maastrichtian","-2.72","0.0313","2.78","0.519"
"Lloyd2","Early-Mid Triassic","0.0154","0.0515","0.0856","0.997"
"Lloyd2","Late Triassic","-0.0377","-0.00926","0.0192","0.262"
"Lloyd2","Early Jurassic","-0.019","0.0282","0.0728","0.885"
"Lloyd2","Middle Jurassic","-0.0567","0.0329","0.119","0.765"
"Lloyd2","Late Jurassic","0.044","0.185","0.336","0.994"
"Lloyd2","Berriasian- Barremian","-0.146","-0.0718","0.00317","0.0237"
"Lloyd2","Aptian- Turonian","-0.0212","0.0707","0.162","0.934"
"Lloyd2","Coniacian- Maastrichtian","-1.3","0.452","3.1","0.822"
