"tree","interval","lower_HPD","median","upper_HPD","prop_positive"
"Benson1","Early-Mid Triassic","-0.0709","0.035","0.142","0.741"
"Benson1","Late Triassic","-0.0833","-0.0375","0.00578","0.0447"
"Benson1","Early Jurassic","-0.0106","0.0645","0.141","0.954"
"Benson1","Middle Jurassic","-0.13","0.00479","0.132","0.527"
"Benson1","Late Jurassic","-0.0622","0.0397","0.144","0.772"
"Benson1","Berriasian- Barremian","-0.133","-0.0679","-0.00155","0.0206"
"Benson1","Aptian- Turonian","0.018","0.0797","0.145","0.994"
"Benson1","Coniacian- Maastrichtian","-2.05","0.263","2.9","0.681"
"Benson2","Early-Mid Triassic","-0.072","0.0351","0.142","0.748"
"Benson2","Late Triassic","-0.083","-0.0373","0.00581","0.0471"
"Benson2","Early Jurassic","-0.00965","0.0653","0.145","0.954"
"Benson2","Middle Jurassic","-0.13","0.00524","0.134","0.534"
"Benson2","Late Jurassic","-0.0701","0.0311","0.131","0.729"
"Benson2","Berriasian- Barremian","-0.135","-0.057","0.0141","0.0617"
"Benson2","Aptian- Turonian","0.0084","0.0728","0.14","0.987"
"Benson2","Coniacian- Maastrichtian","-2.28","0.263","2.77","0.68"
"Lloyd1","Early-Mid Triassic","0.0378","0.156","0.294","0.998"
"Lloyd1","Late Triassic","-0.0389","0.0221","0.0815","0.766"
"Lloyd1","Early Jurassic","-0.166","-0.0754","0.00525","0.0369"
"Lloyd1","Middle Jurassic","-0.0733","0.0237","0.125","0.684"
"Lloyd1","Late Jurassic","0.0564","0.195","0.346","0.997"
"Lloyd1","Berriasian- Barremian","-0.189","-0.0754","0.0373","0.086"
"Lloyd1","Aptian- Turonian","-0.0014","0.0757","0.151","0.977"
"Lloyd1","Coniacian- Maastrichtian","-2.69","0.049","2.9","0.53"
"Lloyd2","Early-Mid Triassic","-0.0105","0.0513","0.115","0.949"
"Lloyd2","Late Triassic","-0.0552","-0.017","0.021","0.188"
"Lloyd2","Early Jurassic","0.0318","0.0841","0.138","0.999"
"Lloyd2","Middle Jurassic","-0.0632","0.0448","0.152","0.796"
"Lloyd2","Late Jurassic","-0.0157","0.0969","0.213","0.955"
"Lloyd2","Berriasian- Barremian","-0.171","-0.094","-0.0195","0.00656"
"Lloyd2","Aptian- Turonian","0.00935","0.0663","0.125","0.99"
"Lloyd2","Coniacian- Maastrichtian","-1.1","0.523","3.22","0.866"
