"tree","interval","lower_HPD","median","upper_HPD","prop_positive"
"Benson1","Early-Mid Triassic","0.0294","0.0765","0.126","0.999"
"Benson1","Late Triassic","-0.00816","0.0297","0.0692","0.941"
"Benson1","Early Jurassic","0.0397","0.089","0.138","1"
"Benson1","Middle Jurassic","-0.194","-0.104","-0.0173","0.00889"
"Benson1","Late Jurassic","0.0696","0.181","0.296","1"
"Benson1","Berriasian- Barremian","-0.0707","0.0363","0.148","0.753"
"Benson1","Aptian- Turonian","-0.0642","0.036","0.141","0.767"
"Benson1","Coniacian- Maastrichtian","-2.25","0.19","2.83","0.631"
"Benson2","Early-Mid Triassic","0.0292","0.0764","0.126","0.999"
"Benson2","Late Triassic","-0.00782","0.0293","0.0697","0.937"
"Benson2","Early Jurassic","0.0402","0.0889","0.138","1"
"Benson2","Middle Jurassic","-0.191","-0.103","-0.0159","0.00897"
"Benson2","Late Jurassic","0.0721","0.181","0.298","1"
"Benson2","Berriasian- Barremian","-0.0716","0.0356","0.147","0.751"
"Benson2","Aptian- Turonian","-0.0653","0.0362","0.138","0.771"
"Benson2","Coniacian- Maastrichtian","-2.23","0.195","2.85","0.633"
"Lloyd1","Early-Mid Triassic","0.0131","0.0702","0.13","0.993"
"Lloyd1","Late Triassic","-0.0314","0.00544","0.0422","0.614"
"Lloyd1","Early Jurassic","-0.0178","0.0299","0.0781","0.893"
"Lloyd1","Middle Jurassic","-0.111","-0.0181","0.0752","0.349"
"Lloyd1","Late Jurassic","-0.0395","0.0658","0.178","0.885"
"Lloyd1","Berriasian- Barremian","-0.039","0.00458","0.0556","0.595"
"Lloyd1","Aptian- Turonian","-0.0103","0.0724","0.162","0.957"
"Lloyd1","Coniacian- Maastrichtian","-2.49","0.179","2.91","0.608"
"Lloyd2","Early-Mid Triassic","0.0262","0.0665","0.108","1"
"Lloyd2","Late Triassic","-0.0324","-0.00158","0.0294","0.459"
"Lloyd2","Early Jurassic","0.0442","0.0862","0.129","1"
"Lloyd2","Middle Jurassic","-0.165","-0.0911","-0.0177","0.00712"
"Lloyd2","Late Jurassic","0.0916","0.184","0.277","1"
"Lloyd2","Berriasian- Barremian","-0.054","-0.00636","0.0412","0.392"
"Lloyd2","Aptian- Turonian","-0.0187","0.0667","0.156","0.94"
"Lloyd2","Coniacian- Maastrichtian","-0.265","0.108","0.534","0.764"
