"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","1.46","3.05","5.18"
"Benson1","Late Triassic","0.727","1.56","2.64"
"Benson1","Early Jurassic","0.326","1.01","1.92"
"Benson1","Middle Jurassic","0.318","0.961","1.88"
"Benson1","Late Jurassic","0.000198","0.51","1.28"
"Benson1","Berriasian- Barremian","0.399","0.992","1.86"
"Benson1","Aptian- Turonian","0.27","0.947","1.99"
"Benson1","Coniacian- Maastrichtian","4.04e-08","0.371","1.58"
"Benson2","Early-Mid Triassic","1.4","3.03","5.12"
"Benson2","Late Triassic","0.709","1.59","2.77"
"Benson2","Early Jurassic","0.34","0.98","1.86"
"Benson2","Middle Jurassic","0.317","0.978","1.88"
"Benson2","Late Jurassic","1.81e-06","0.482","1.25"
"Benson2","Berriasian- Barremian","0.461","1.15","2.15"
"Benson2","Aptian- Turonian","0.218","0.84","1.83"
"Benson2","Coniacian- Maastrichtian","1.04e-05","0.37","1.56"
"Lloyd1","Early-Mid Triassic","1.2","2.73","4.7"
"Lloyd1","Late Triassic","0.449","1.1","2.02"
"Lloyd1","Early Jurassic","9e-06","0.174","0.568"
"Lloyd1","Middle Jurassic","0.0141","0.513","1.15"
"Lloyd1","Late Jurassic","0.0717","0.556","1.25"
"Lloyd1","Berriasian- Barremian","0.00944","0.0988","0.261"
"Lloyd1","Aptian- Turonian","0.726","1.87","3.51"
"Lloyd1","Coniacian- Maastrichtian","1.22e-06","0.397","1.79"
"Lloyd2","Early-Mid Triassic","2.24","4.16","6.41"
"Lloyd2","Late Triassic","0.949","1.78","2.87"
"Lloyd2","Early Jurassic","2.96e-06","0.102","0.36"
"Lloyd2","Middle Jurassic","0.741","1.5","2.52"
"Lloyd2","Late Jurassic","0.0173","0.6","1.34"
"Lloyd2","Berriasian- Barremian","0.105","0.384","0.795"
"Lloyd2","Aptian- Turonian","0.76","1.85","3.39"
"Lloyd2","Coniacian- Maastrichtian","4.4e-05","0.448","1.62"
