"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","0.706","1.94","3.57"
"Benson1","Late Triassic","0.283","0.921","1.86"
"Benson1","Early Jurassic","0.11","0.728","1.63"
"Benson1","Middle Jurassic","1.51e-05","0.284","1.03"
"Benson1","Late Jurassic","8.45e-05","0.658","1.8"
"Benson1","Berriasian- Barremian","0.00998","0.148","0.485"
"Benson1","Aptian- Turonian","0.000384","0.55","1.71"
"Benson1","Coniacian- Maastrichtian","1.81e-05","0.623","2.8"
"Benson2","Early-Mid Triassic","0.822","1.97","3.57"
"Benson2","Late Triassic","0.344","0.934","1.87"
"Benson2","Early Jurassic","0.142","0.73","1.66"
"Benson2","Middle Jurassic","4.34e-05","0.276","0.922"
"Benson2","Late Jurassic","8.94e-05","0.657","1.73"
"Benson2","Berriasian- Barremian","0.00726","0.144","0.45"
"Benson2","Aptian- Turonian","0.00174","0.559","1.73"
"Benson2","Coniacian- Maastrichtian","3.2e-05","0.626","2.78"
"Lloyd1","Early-Mid Triassic","0.351","1.29","2.66"
"Lloyd1","Late Triassic","0.138","0.655","1.48"
"Lloyd1","Early Jurassic","5.95e-05","0.368","1.13"
"Lloyd1","Middle Jurassic","1.51e-05","0.336","1.14"
"Lloyd1","Late Jurassic","2e-04","0.547","1.55"
"Lloyd1","Berriasian- Barremian","0.00362","0.201","0.719"
"Lloyd1","Aptian- Turonian","0.00456","0.524","1.65"
"Lloyd1","Coniacian- Maastrichtian","4.95e-05","0.624","2.79"
"Lloyd2","Early-Mid Triassic","1.37","2.81","4.67"
"Lloyd2","Late Triassic","0.397","1.01","1.87"
"Lloyd2","Early Jurassic","0.127","0.638","1.35"
"Lloyd2","Middle Jurassic","1.32e-05","0.257","0.823"
"Lloyd2","Late Jurassic","0.000812","0.768","1.89"
"Lloyd2","Berriasian- Barremian","0.00637","0.16","0.529"
"Lloyd2","Aptian- Turonian","1.27e-06","0.188","0.828"
"Lloyd2","Coniacian- Maastrichtian","9.03e-06","0.423","1.92"
