"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","0.212","1.21","2.7"
"Benson1","Late Triassic","0.00426","0.134","0.469"
"Benson1","Early Jurassic","0.0421","0.709","1.69"
"Benson1","Middle Jurassic","0.865","2.17","3.84"
"Benson1","Late Jurassic","3.21e-05","0.217","0.792"
"Benson1","Berriasian- Barremian","0.3","0.923","1.86"
"Benson1","Aptian- Turonian","0.0965","0.617","1.46"
"Benson1","Coniacian- Maastrichtian","0.000123","0.495","2.26"
"Benson2","Early-Mid Triassic","0.208","1.26","2.72"
"Benson2","Late Triassic","0.00462","0.134","0.465"
"Benson2","Early Jurassic","0.000189","0.721","1.77"
"Benson2","Middle Jurassic","0.838","2.1","3.69"
"Benson2","Late Jurassic","0.000142","0.184","0.707"
"Benson2","Berriasian- Barremian","0.377","1.16","2.22"
"Benson2","Aptian- Turonian","0.0225","0.553","1.4"
"Benson2","Coniacian- Maastrichtian","3.25e-05","0.497","2.32"
"Lloyd1","Early-Mid Triassic","2.42e-06","0.361","1.33"
"Lloyd1","Late Triassic","0.00318","0.393","1.22"
"Lloyd1","Early Jurassic","0.0615","0.594","1.59"
"Lloyd1","Middle Jurassic","3.76e-05","0.18","0.795"
"Lloyd1","Late Jurassic","8.4e-05","0.358","1.22"
"Lloyd1","Berriasian- Barremian","0.477","1.42","2.89"
"Lloyd1","Aptian- Turonian","0.0137","0.474","1.33"
"Lloyd1","Coniacian- Maastrichtian","6.93e-05","0.617","2.76"
"Lloyd2","Early-Mid Triassic","3.1e-05","0.513","1.51"
"Lloyd2","Late Triassic","0.0692","0.561","1.42"
"Lloyd2","Early Jurassic","2.69e-06","0.0485","0.211"
"Lloyd2","Middle Jurassic","1.36","2.87","4.81"
"Lloyd2","Late Jurassic","1.4e-05","0.275","0.945"
"Lloyd2","Berriasian- Barremian","0.492","1.35","2.55"
"Lloyd2","Aptian- Turonian","0.201","0.774","1.73"
"Lloyd2","Coniacian- Maastrichtian","2.79e-05","0.401","1.8"
