"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","1.04e-05","0.742","2.3"
"Benson1","Late Triassic","0.515","1.6","3.2"
"Benson1","Early Jurassic","1.42e-06","0.17","0.582"
"Benson1","Middle Jurassic","0.0921","0.482","1.13"
"Benson1","Late Jurassic","2.25e-07","0.24","0.861"
"Benson1","Berriasian- Barremian","0.188","0.891","2.05"
"Benson1","Aptian- Turonian","0.0624","0.576","1.55"
"Benson1","Coniacian- Maastrichtian","9e-07","0.525","2.44"
"Benson2","Early-Mid Triassic","2.85e-05","0.709","2.2"
"Benson2","Late Triassic","0.535","1.62","3.22"
"Benson2","Early Jurassic","4.49e-06","0.173","0.604"
"Benson2","Middle Jurassic","0.0854","0.478","1.12"
"Benson2","Late Jurassic","1.15e-05","0.238","0.843"
"Benson2","Berriasian- Barremian","0.184","0.899","2.08"
"Benson2","Aptian- Turonian","0.0671","0.575","1.55"
"Benson2","Coniacian- Maastrichtian","2.38e-06","0.521","2.41"
"Lloyd1","Early-Mid Triassic","0.411","1.8","3.65"
"Lloyd1","Late Triassic","0.143","0.624","1.46"
"Lloyd1","Early Jurassic","1.49e-06","0.0379","0.185"
"Lloyd1","Middle Jurassic","0.00874","0.342","0.854"
"Lloyd1","Late Jurassic","2.77e-08","0.0803","0.37"
"Lloyd1","Berriasian- Barremian","2.51e-08","0.0217","0.0858"
"Lloyd1","Aptian- Turonian","0.528","1.67","3.27"
"Lloyd1","Coniacian- Maastrichtian","8.58e-06","0.549","2.58"
"Lloyd2","Early-Mid Triassic","0.402","1.94","3.99"
"Lloyd2","Late Triassic","0.502","1.39","2.7"
"Lloyd2","Early Jurassic","6.73e-07","0.0563","0.265"
"Lloyd2","Middle Jurassic","0.174","0.643","1.32"
"Lloyd2","Late Jurassic","3.25e-06","0.326","0.95"
"Lloyd2","Berriasian- Barremian","9.47e-07","0.0742","0.246"
"Lloyd2","Aptian- Turonian","0.561","1.73","3.39"
"Lloyd2","Coniacian- Maastrichtian","6.17e-06","0.427","1.55"
