"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","0.000397","0.00087","0.00153"
"Benson1","Late Triassic","0.000345","0.000664","0.00109"
"Benson1","Early Jurassic","0.000521","0.00108","0.00184"
"Benson1","Middle Jurassic","0.00164","0.0033","0.00556"
"Benson1","Late Jurassic","0.00217","0.00497","0.00883"
"Benson1","Berriasian- Barremian","0.00179","0.00432","0.00789"
"Benson1","Aptian- Turonian","0.000941","0.00298","0.0061"
"Benson1","Coniacian- Maastrichtian","6.63e-08","0.00574","0.0688"
"Benson2","Early-Mid Triassic","0.000389","0.000864","0.00152"
"Benson2","Late Triassic","0.00034","0.00066","0.00109"
"Benson2","Early Jurassic","0.000524","0.00109","0.00187"
"Benson2","Middle Jurassic","0.00161","0.00332","0.0056"
"Benson2","Late Jurassic","0.00208","0.00478","0.00851"
"Benson2","Berriasian- Barremian","0.00184","0.00458","0.00835"
"Benson2","Aptian- Turonian","0.001","0.00328","0.00679"
"Benson2","Coniacian- Maastrichtian","3.76e-08","0.00568","0.0654"
"Lloyd1","Early-Mid Triassic","0.000275","0.000751","0.00144"
"Lloyd1","Late Triassic","0.000309","0.000694","0.00123"
"Lloyd1","Early Jurassic","0.000294","0.000736","0.00139"
"Lloyd1","Middle Jurassic","0.000779","0.00186","0.00337"
"Lloyd1","Late Jurassic","0.000921","0.00262","0.00516"
"Lloyd1","Berriasian- Barremian","0.000861","0.00228","0.00431"
"Lloyd1","Aptian- Turonian","0.000685","0.00219","0.0045"
"Lloyd1","Coniacian- Maastrichtian","3.37e-08","0.00725","0.196"
"Lloyd2","Early-Mid Triassic","0.000394","0.000779","0.00128"
"Lloyd2","Late Triassic","0.000275","0.000496","0.000784"
"Lloyd2","Early Jurassic","0.000415","0.000785","0.00126"
"Lloyd2","Middle Jurassic","0.000973","0.00186","0.00304"
"Lloyd2","Late Jurassic","0.0014","0.00303","0.00519"
"Lloyd2","Berriasian- Barremian","0.00116","0.00265","0.0046"
"Lloyd2","Aptian- Turonian","0.000541","0.00142","0.00267"
"Lloyd2","Coniacian- Maastrichtian","1.02e-05","0.00148","0.00635"
