"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","0.0011","0.00272","0.00506"
"Benson1","Late Triassic","0.000592","0.00144","0.00266"
"Benson1","Early Jurassic","0.000446","0.0015","0.00327"
"Benson1","Middle Jurassic","0.000588","0.00274","0.00626"
"Benson1","Late Jurassic","0.000714","0.00655","0.0179"
"Benson1","Berriasian- Barremian","0.00109","0.00923","0.0237"
"Benson1","Aptian- Turonian","9.66e-06","0.002","0.00917"
"Benson1","Coniacian- Maastrichtian","2.16e-06","0.106","0.546"
"Benson2","Early-Mid Triassic","0.00108","0.00269","0.00498"
"Benson2","Late Triassic","0.000596","0.00142","0.00262"
"Benson2","Early Jurassic","0.00044","0.0015","0.00322"
"Benson2","Middle Jurassic","7e-04","0.00279","0.00632"
"Benson2","Late Jurassic","0.000753","0.00671","0.0183"
"Benson2","Berriasian- Barremian","0.00128","0.00932","0.0242"
"Benson2","Aptian- Turonian","7.15e-06","0.00201","0.00917"
"Benson2","Coniacian- Maastrichtian","2.19e-06","0.106","0.542"
"Lloyd1","Early-Mid Triassic","0.000946","0.00323","0.00666"
"Lloyd1","Late Triassic","0.000269","0.00103","0.00233"
"Lloyd1","Early Jurassic","9.08e-05","0.000605","0.00158"
"Lloyd1","Middle Jurassic","0.000403","0.00227","0.00566"
"Lloyd1","Late Jurassic","0.00121","0.00868","0.0235"
"Lloyd1","Berriasian- Barremian","0.000665","0.00744","0.0213"
"Lloyd1","Aptian- Turonian","7.21e-06","0.00219","0.0112"
"Lloyd1","Coniacian- Maastrichtian","1.09e-06","0.103","0.546"
"Lloyd2","Early-Mid Triassic","0.00138","0.00306","0.00537"
"Lloyd2","Late Triassic","0.000617","0.00139","0.00245"
"Lloyd2","Early Jurassic","0.00057","0.00159","0.00319"
"Lloyd2","Middle Jurassic","0.000646","0.00222","0.00469"
"Lloyd2","Late Jurassic","0.000906","0.00541","0.0132"
"Lloyd2","Berriasian- Barremian","0.000253","0.00374","0.0112"
"Lloyd2","Aptian- Turonian","8.05e-07","0.00048","0.00229"
"Lloyd2","Coniacian- Maastrichtian","3.4e-07","0.0206","0.273"
