"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","0.000214","0.00386","0.0119"
"Benson1","Late Triassic","0.000646","0.0027","0.00657"
"Benson1","Early Jurassic","0.000401","0.00232","0.00574"
"Benson1","Middle Jurassic","0.00828","0.0223","0.0426"
"Benson1","Late Jurassic","0.00374","0.0136","0.029"
"Benson1","Berriasian- Barremian","0.00193","0.0065","0.0136"
"Benson1","Aptian- Turonian","0.00126","0.0048","0.0104"
"Benson1","Coniacian- Maastrichtian","3.05e-06","0.0435","0.415"
"Benson2","Early-Mid Triassic","0.000195","0.00374","0.0116"
"Benson2","Late Triassic","0.000578","0.0027","0.00641"
"Benson2","Early Jurassic","0.000442","0.00232","0.0056"
"Benson2","Middle Jurassic","0.00855","0.0231","0.0431"
"Benson2","Late Jurassic","0.00415","0.0134","0.0289"
"Benson2","Berriasian- Barremian","0.00227","0.00738","0.015"
"Benson2","Aptian- Turonian","0.00155","0.00549","0.0118"
"Benson2","Coniacian- Maastrichtian","4.18e-06","0.0432","0.397"
"Lloyd1","Early-Mid Triassic","1.35e-07","0.00038","0.00246"
"Lloyd1","Late Triassic","0.000524","0.00331","0.00846"
"Lloyd1","Early Jurassic","8.41e-05","0.00105","0.00325"
"Lloyd1","Middle Jurassic","0.000607","0.00402","0.00999"
"Lloyd1","Late Jurassic","0.000326","0.00398","0.0112"
"Lloyd1","Berriasian- Barremian","0.00249","0.011","0.0254"
"Lloyd1","Aptian- Turonian","0.00213","0.00871","0.02"
"Lloyd1","Coniacian- Maastrichtian","2.51e-06","0.104","0.545"
"Lloyd2","Early-Mid Triassic","5.68e-05","0.000784","0.0025"
"Lloyd2","Late Triassic","0.000188","0.000853","0.00209"
"Lloyd2","Early Jurassic","0.000198","0.000803","0.00182"
"Lloyd2","Middle Jurassic","0.00521","0.0125","0.0229"
"Lloyd2","Late Jurassic","0.00372","0.0136","0.0294"
"Lloyd2","Berriasian- Barremian","0.00325","0.00921","0.0184"
"Lloyd2","Aptian- Turonian","0.00168","0.00517","0.0104"
"Lloyd2","Coniacian- Maastrichtian","3.75e-07","0.0167","0.221"
