"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","3.57e-05","0.000324","0.000916"
"Benson1","Late Triassic","0.000154","0.000556","0.0012"
"Benson1","Early Jurassic","0.000909","0.00268","0.00528"
"Benson1","Middle Jurassic","0.00069","0.00273","0.00601"
"Benson1","Late Jurassic","0.000898","0.00413","0.00928"
"Benson1","Berriasian- Barremian","0.000714","0.00507","0.0138"
"Benson1","Aptian- Turonian","0.00197","0.0124","0.0325"
"Benson1","Coniacian- Maastrichtian","2.81e-07","0.0599","0.451"
"Benson2","Early-Mid Triassic","3.35e-05","0.000326","0.000918"
"Benson2","Late Triassic","0.000149","0.000554","0.00119"
"Benson2","Early Jurassic","0.000898","0.00265","0.00523"
"Benson2","Middle Jurassic","0.000639","0.00273","0.00597"
"Benson2","Late Jurassic","0.000923","0.00414","0.00938"
"Benson2","Berriasian- Barremian","0.000687","0.00508","0.0139"
"Benson2","Aptian- Turonian","0.00187","0.0124","0.0324"
"Benson2","Coniacian- Maastrichtian","2.22e-08","0.0599","0.442"
"Lloyd1","Early-Mid Triassic","0.000113","0.000728","0.00188"
"Lloyd1","Late Triassic","0.000257","0.000852","0.00183"
"Lloyd1","Early Jurassic","0.000412","0.00151","0.00324"
"Lloyd1","Middle Jurassic","0.000327","0.00141","0.00326"
"Lloyd1","Late Jurassic","0.000292","0.00209","0.00525"
"Lloyd1","Berriasian- Barremian","0.000162","0.000947","0.00236"
"Lloyd1","Aptian- Turonian","0.000979","0.00395","0.00905"
"Lloyd1","Coniacian- Maastrichtian","1.02e-06","0.0654","0.484"
"Lloyd2","Early-Mid Triassic","0.000128","0.000533","0.00122"
"Lloyd2","Late Triassic","0.000192","0.000489","0.000933"
"Lloyd2","Early Jurassic","0.000522","0.00138","0.0026"
"Lloyd2","Middle Jurassic","0.000487","0.00148","0.00299"
"Lloyd2","Late Jurassic","0.000843","0.00282","0.00582"
"Lloyd2","Berriasian- Barremian","0.000625","0.0023","0.00493"
"Lloyd2","Aptian- Turonian","0.00131","0.00482","0.0108"
"Lloyd2","Coniacian- Maastrichtian","3.69e-05","0.0145","0.0817"
