"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","1.5","3.11","5.22"
"Benson1","Late Triassic","0.728","1.56","2.64"
"Benson1","Early Jurassic","0.385","1.07","1.97"
"Benson1","Middle Jurassic","0.306","0.96","1.86"
"Benson1","Late Jurassic","0.152","0.657","1.43"
"Benson1","Berriasian- Barremian","0.349","0.949","1.81"
"Benson1","Aptian- Turonian","0.321","1","2.03"
"Benson1","Coniacian- Maastrichtian","0.143","1.28","3.76"
"Benson2","Early-Mid Triassic","1.45","3.09","5.17"
"Benson2","Late Triassic","0.71","1.59","2.77"
"Benson2","Early Jurassic","0.396","1.04","1.91"
"Benson2","Middle Jurassic","0.334","0.976","1.89"
"Benson2","Late Jurassic","0.129","0.625","1.39"
"Benson2","Berriasian- Barremian","0.424","1.12","2.12"
"Benson2","Aptian- Turonian","0.274","0.889","1.88"
"Benson2","Coniacian- Maastrichtian","0.137","1.26","3.65"
"Lloyd1","Early-Mid Triassic","1.27","2.82","4.78"
"Lloyd1","Late Triassic","0.434","1.09","2"
"Lloyd1","Early Jurassic","0.0101","0.202","0.599"
"Lloyd1","Middle Jurassic","0.039","0.526","1.17"
"Lloyd1","Late Jurassic","0.229","0.686","1.36"
"Lloyd1","Berriasian- Barremian","3.02e-07","0.0544","0.211"
"Lloyd1","Aptian- Turonian","0.766","1.93","3.55"
"Lloyd1","Coniacian- Maastrichtian","5.67e-05","1.17","3.49"
"Lloyd2","Early-Mid Triassic","2.35","4.21","6.51"
"Lloyd2","Late Triassic","0.937","1.77","2.86"
"Lloyd2","Early Jurassic","0.0495","0.169","0.429"
"Lloyd2","Middle Jurassic","0.718","1.47","2.49"
"Lloyd2","Late Jurassic","0.235","0.784","1.53"
"Lloyd2","Berriasian- Barremian","0.0482","0.318","0.737"
"Lloyd2","Aptian- Turonian","0.808","1.89","3.43"
"Lloyd2","Coniacian- Maastrichtian","0.189","0.752","1.89"
