"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","0.77","1.99","3.63"
"Benson1","Late Triassic","0.303","0.918","1.87"
"Benson1","Early Jurassic","0.162","0.761","1.67"
"Benson1","Middle Jurassic","0.000118","0.309","1.03"
"Benson1","Late Jurassic","0.229","0.888","2.03"
"Benson1","Berriasian- Barremian","1e-06","0.0844","0.426"
"Benson1","Aptian- Turonian","0.112","0.645","1.81"
"Benson1","Coniacian- Maastrichtian","1.06e-05","0.666","2.85"
"Benson2","Early-Mid Triassic","0.871","2.02","3.62"
"Benson2","Late Triassic","0.325","0.932","1.85"
"Benson2","Early Jurassic","0.178","0.765","1.67"
"Benson2","Middle Jurassic","0.000305","0.303","0.929"
"Benson2","Late Jurassic","0.233","0.886","1.94"
"Benson2","Berriasian- Barremian","1.82e-06","0.08","0.395"
"Benson2","Aptian- Turonian","0.107","0.651","1.81"
"Benson2","Coniacian- Maastrichtian","8.62e-05","0.661","2.83"
"Lloyd1","Early-Mid Triassic","0.434","1.37","2.73"
"Lloyd1","Late Triassic","0.101","0.611","1.43"
"Lloyd1","Early Jurassic","0.013","0.398","1.16"
"Lloyd1","Middle Jurassic","0.0221","0.441","1.26"
"Lloyd1","Late Jurassic","0.109","0.685","1.74"
"Lloyd1","Berriasian- Barremian","7.8e-06","0.151","0.693"
"Lloyd1","Aptian- Turonian","0.0838","0.61","1.74"
"Lloyd1","Coniacian- Maastrichtian","8.98e-06","0.659","2.86"
"Lloyd2","Early-Mid Triassic","1.42","2.86","4.72"
"Lloyd2","Late Triassic","0.38","1","1.85"
"Lloyd2","Early Jurassic","0.176","0.666","1.37"
"Lloyd2","Middle Jurassic","0.000384","0.291","0.838"
"Lloyd2","Late Jurassic","0.254","0.952","2.08"
"Lloyd2","Berriasian- Barremian","2.03e-06","0.0812","0.449"
"Lloyd2","Aptian- Turonian","0.0133","0.262","0.895"
"Lloyd2","Coniacian- Maastrichtian","1.83e-05","1","3.19"
