"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","0.226","1.25","2.73"
"Benson1","Late Triassic","1.21e-05","0.0945","0.428"
"Benson1","Early Jurassic","0.125","0.773","1.76"
"Benson1","Middle Jurassic","0.938","2.17","3.9"
"Benson1","Late Jurassic","0.000135","0.263","0.823"
"Benson1","Berriasian- Barremian","0.222","0.854","1.78"
"Benson1","Aptian- Turonian","0.174","0.697","1.54"
"Benson1","Coniacian- Maastrichtian","0.000284","0.822","2.98"
"Benson2","Early-Mid Triassic","0.238","1.3","2.78"
"Benson2","Late Triassic","1.25e-05","0.0934","0.421"
"Benson2","Early Jurassic","0.117","0.787","1.86"
"Benson2","Middle Jurassic","0.904","2.11","3.71"
"Benson2","Late Jurassic","0.000283","0.22","0.737"
"Benson2","Berriasian- Barremian","0.327","1.1","2.18"
"Benson2","Aptian- Turonian","0.103","0.631","1.52"
"Benson2","Coniacian- Maastrichtian","1e-04","0.817","2.95"
"Lloyd1","Early-Mid Triassic","0.0774","0.522","1.51"
"Lloyd1","Late Triassic","0.0462","0.415","1.25"
"Lloyd1","Early Jurassic","0.000816","0.519","1.48"
"Lloyd1","Middle Jurassic","2.34e-06","0.206","0.821"
"Lloyd1","Late Jurassic","0.115","0.559","1.45"
"Lloyd1","Berriasian- Barremian","0.376","1.35","2.8"
"Lloyd1","Aptian- Turonian","0.112","0.552","1.43"
"Lloyd1","Coniacian- Maastrichtian","2.88e-06","0.683","2.89"
"Lloyd2","Early-Mid Triassic","0.0246","0.565","1.57"
"Lloyd2","Late Triassic","0.056","0.544","1.41"
"Lloyd2","Early Jurassic","0.0428","0.137","0.311"
"Lloyd2","Middle Jurassic","1.44","2.91","4.88"
"Lloyd2","Late Jurassic","0.0399","0.377","1.06"
"Lloyd2","Berriasian- Barremian","0.414","1.26","2.47"
"Lloyd2","Aptian- Turonian","0.25","0.841","1.78"
"Lloyd2","Coniacian- Maastrichtian","0.00232","1.07","3.31"
