"tree","interval","lower_HPD","median","upper_HPD"
"Benson1","Early-Mid Triassic","0.051","0.819","2.39"
"Benson1","Late Triassic","0.534","1.63","3.22"
"Benson1","Early Jurassic","0.0645","0.261","0.669"
"Benson1","Middle Jurassic","6.52e-06","0.378","1.02"
"Benson1","Late Jurassic","0.109","0.426","1.07"
"Benson1","Berriasian- Barremian","0.22","0.93","2.09"
"Benson1","Aptian- Turonian","0.0963","0.614","1.59"
"Benson1","Coniacian- Maastrichtian","1.16e-05","0.766","2.86"
"Benson2","Early-Mid Triassic","0.054","0.787","2.29"
"Benson2","Late Triassic","0.552","1.65","3.25"
"Benson2","Early Jurassic","0.0644","0.264","0.69"
"Benson2","Middle Jurassic","4.66e-06","0.375","1.01"
"Benson2","Late Jurassic","0.107","0.424","1.05"
"Benson2","Berriasian- Barremian","0.226","0.936","2.12"
"Benson2","Aptian- Turonian","0.096","0.612","1.58"
"Benson2","Coniacian- Maastrichtian","2.81e-05","0.763","2.89"
"Lloyd1","Early-Mid Triassic","0.517","1.87","3.77"
"Lloyd1","Late Triassic","0.145","0.629","1.44"
"Lloyd1","Early Jurassic","2.33e-05","0.0726","0.217"
"Lloyd1","Middle Jurassic","0.000552","0.326","0.819"
"Lloyd1","Late Jurassic","0.000401","0.157","0.439"
"Lloyd1","Berriasian- Barremian","4.41e-07","0.0274","0.1"
"Lloyd1","Aptian- Turonian","0.628","1.74","3.35"
"Lloyd1","Coniacian- Maastrichtian","1.45e-05","0.76","2.95"
"Lloyd2","Early-Mid Triassic","0.498","2.01","4.09"
"Lloyd2","Late Triassic","0.497","1.39","2.69"
"Lloyd2","Early Jurassic","0.0498","0.146","0.364"
"Lloyd2","Middle Jurassic","0.0652","0.553","1.24"
"Lloyd2","Late Jurassic","0.147","0.511","1.14"
"Lloyd2","Berriasian- Barremian","8.45e-07","0.0667","0.24"
"Lloyd2","Aptian- Turonian","0.632","1.8","3.44"
"Lloyd2","Coniacian- Maastrichtian","0.0228","0.554","1.67"
