taxon_name,firstapp_max_ma,lastapp_min_ma
Chilesaurus diegosuarezi,152.1,145
Eocursor parvus,201.3,190.8
Wannanosaurus yansiensis,70.6,66
Colepiocephale lambei,83.5,70.6
Foraminacephale brevis,83.6,70.6
Gravitholus albertae,83.5,70.6
Alaskacephale gangloffi,70.6,66
Amtocephale gobiensis,100.5,83.6
Hanssuesia sternbergi,83.6,72.1
Tylocephale gilmorei,83.5,70.6
Acrotholus audeti,85.8,83.5
Tianyulong confuciusi,167.7,150.8
Goyocephale lattimorei,86.3,66
Sphaerotholus goodwini,83.5,70.6
Sphaerotholus buchholtzae,72.1,66
Sphaerotholus edmontonense,83.5,66
Prenocephale prenes,72.1,66
Stegoceras validum,83.6,70.6
Stegoceras novomexicanum,83.5,70.6
Homalocephale calathocercos,72.1,66
Pachycephalosaurus wyomingensis,83.5,66
Serendipaceratops arthurcclarkei,122.46,112.03
Albalophosaurus yamaguchiorum,129.4,125
Micropachycephalosaurus hongtuyanensis,89.8,83.6
Psittacosaurus amitabha,132.9,125
Psittacosaurus xinjiangensis,139.8,100.5
Psittacosaurus gobiensis,125,113
Psittacosaurus lujiatunensis,130,122.46
Psittacosaurus sinensis,125,113
Psittacosaurus neimongoliensis,145,100.5
Psittacosaurus sibiricus,129.4,113
Psittacosaurus meileyingensis,125,113
Psittacosaurus mongoliensis,145,100.5
Liaoceratops yanzigouensis,130,125.45
Asiaceratops salsopaludalis,99.6,93.5
Beg tse,105.3,93.9
Archaeoceratops oshimai,112.03,109
Archaeoceratops yujingziensis,125,113
Aquilops americanus,109,99.6
Auroraceratops rugosus,112.03,109
Yamaceratops dorngobiensis,86.3,72.1
Yinlong downsi,163.5,157.3
Stenopelix valdensis,145,140.2
Xuanhuaceratops niei,163.5,145
Hualianceratops wucaiwanensis,163.5,157.3
Chaoyangsaurus youngi,150.8,132.9
Graciliceratops mongoliensis,100.5,83.6
Magnirostris dodsoni,83.6,72.1
Protoceratops hellenikorhinus,83.6,72.1
Protoceratops andrewsi,85.8,70.6
Bagaceratops rozhdestvenskyi,83.5,70.6
Gryphoceratops morrisoni,85.8,83.5
Montanoceratops cerorhynchus,83.5,66
Cerasinops hodgskissi,83.6,72.1
Zhuchengceratops inexpectus,83.6,72.1
Unescoceratops koppelhusae,83.5,70.6
Udanoceratops tschizhovi,83.5,70.6
Prenoceratops pieganensis,83.6,72.1
Ferrisaurus sustutensis,72.1,66
Ischioceratops zhuchengensis,83.6,72.1
Helioceratops brachygnathus,125,100.5
Koreaceratops hwaseongensis,113,100.5
Leptoceratops gracilis,70.6,66
Monoclonius crassus,83.5,70.6
Albertaceratops nesmoi,83.5,70.6
Yehuecauhceratops mudei,83.5,70.6
Avaceratops lammersi,83.5,70.6
Crittendenceratops krzyzanowskii,83.5,70.6
Nasutoceratops titusi,83.5,70.6
Machairoceratops cronusi,83.5,70.6
Stellasaurus ancellae,83.5,70.6
Menefeeceratops sealeyi,83.5,70.6
Centrosaurus apertus,83.6,70.6
Spinops sternbergorum,83.5,70.6
Styracosaurus albertensis,83.5,70.6
Coronosaurus brinkmani,83.6,70.6
Rubeosaurus ovatus,83.6,72.1
Einiosaurus procurvicornis,83.6,72.1
Achelousaurus horneri,83.6,70.6
Pachyrhinosaurus canadensis,83.5,66
Pachyrhinosaurus perotorum,70.6,66
Pachyrhinosaurus lakustai,83.5,70.6
Diabloceratops eatoni,83.5,70.6
Xenoceratops foremostensis,83.5,70.6
Wendiceratops pinhornensis,83.5,70.6
Sinoceratops zhuchengensis,83.6,72.1
Terminocavus sealeyi,83.5,70.6
Judiceratops tigris,83.5,70.6
Pentaceratops sternbergii,83.5,66
Arrhinoceratops brachyops,83.5,66
Bisticeratops froeseorum,83.5,70.6
Utahceratops gettyi,83.5,70.6
Titanoceratops ouranos,83.5,70.6
Regaliceratops peterhewsi,70.6,66
Ojoceratops fowleri,70.6,66
Triceratops prorsus,72.1,66
Tatankaceratops sacrisonorum,70.6,66
Triceratops horridus,83.5,66
Torosaurus utahensis,70.6,66
Torosaurus latus,72.1,66
Eotriceratops xerinsularis,70.6,66
Medusaceratops lokii,83.5,70.6
Sierraceratops turneri,83.5,66
Bravoceratops polyphemus,72.1,66
Spiclypeus shipporum,83.5,70.6
Anchiceratops ornatus,83.5,66
Vagaceratops irvinensis,83.5,70.6
Agujaceratops mariscalensis,83.5,70.6
Chasmosaurus belli,83.5,70.6
Chasmosaurus russelli,83.5,70.6
Navajoceratops sullivani,83.5,70.6
Kosmoceratops richardsoni,83.5,70.6
Coahuilaceratops magnacuerna,83.5,70.6
Zuniceratops christopheri,93.5,89.3
Ajkaceratops kozmai,86.3,83.6
Turanoceratops tardabilis,93.5,89.3
Platyceratops tatarinovi,83.5,70.6
Lamaceratops tereschenkoi,83.5,70.6
Gobiceratops minutus,83.5,70.6
Mosaiceratops azumai,93.5,70.6
Notoceratops bonarelli,72.1,66
Changmiania liaoningensis,125.45,122.46
Jeholosaurus shangyuanensis,130,125.45
Nanosaurus agilis,161.2,145
Albertadromeus syntarsus,83.6,72.1
Koreanosaurus boseongensis,83.6,72.1
Oryctodromeus cubicularis,105.3,99.6
Zephyrosaurus schaffi,113,100.5
Orodromeus makelai,83.6,66
Burianosaurus augustai,99.6,93.5
Gideonmantellia amosanjuanae,130,125.45
Qantassaurus intrepidus,122.46,112.03
Rhabdodon priscus,83.5,66
Rhabdodon septimanicus,83.5,66
Pareisactus evrostos,70.6,66
Zalmoxes robustus,83.5,66
Zalmoxes shqiperorum,70.6,66
Mochlodon priscus,,
Mochlodon vorosi,86.3,83.6
Rhabdodon suessi,83.5,66
Matheronodon provincialis,83.5,70.6
Muttaburrasaurus langdoni,105.3,99.6
Fostoria dhimbangunmal,99.6,93.5
Draconyx loureiroi,155.7,145
Camptosaurus aphanoecetes,150.8,145
Camptosaurus dispar,157.3,145
Iguanodon galvensis,130,125.45
Iguanodon major,136.4,125.45
Iguanodon bernissartensis,150.8,100.5
Iguanodon mantelli,145,109
Hypselospinus fittoni,145,136.4
Ouranosaurus nigeriensis,125,100.5
Altirhinus kurzanovi,109,99.6
Bolong yixianensis,130,122.46
Barilium dawsoni,140.2,125.45
Mantellisaurus atherfieldensis,145,122.46
Jinzhousaurus yangi,130,125.45
Bayannurosaurus perfectus,125.45,122.46
Owenodon hoggii,152.1,140.2
Eousdryosaurus nanohallucis,155.7,145
Dakotadon lakotaensis,139.8,132.9
Proa valdearinnoensis,112.03,109
Brighstoneus simmondsi,130,125.45
Tethyshadros insularis,83.5,70.6
Ratchasimasaurus suranareae,125,113
Probactrosaurus gobiensis,129.4,100.5
Batyrosaurus rozhdestvenskyi,86.3,70.6
Zhanghenglong yangchengensis,86.3,83.6
Datonglong tianzhenensis,100.5,72.1
Penelopognathus weishampeli,125,113
Fukuisaurus tetoriensis,125,113
Sirindhorna khoratensis,125,100.5
Huehuecanauhtlus tiquichensis,86.3,83.6
Morelladon beltrani,130,125.45
Zuoyunlong huangi,100.5,83.6
Yunganglong datongensis,100.5,83.6
Shuangmiaosaurus gilmorei,105.3,99.6
Claosaurus agilis,89.3,70.6
Cedrorestes crichtoni,139.8,132.9
Koshisaurus katsuyama,125,113
Gobihadros mongoliensis,100.5,83.6
Jeyawati rugoculus,93.5,89.3
Gilmoreosaurus mongoliensis,83.5,70.6
Telmatosaurus transsylvanicus,83.5,66
Equijubus normani,112.03,109
Xuwulong yueluni,125,113
Portellsaurus sosbaynati,130,125.45
Levnesovia transoxiana,93.5,89.3
Nanyangosaurus zhugeii,93.5,70.6
Gongpoquansaurus mazongshanensis,112.03,109
Plesiohadros djadokhtaensis,85.8,70.6
Fylax thyrakolasus,70.6,66
Jintasaurus meniscus,125,113
Protohadros byrdi,99.6,93.5
Eolambia caroljonesa,125,93.5
Tanius sinensis,89.8,72.1
Tanius chingkankouensis,83.6,72.1
Nanningosaurus dashiensis,100.5,66
Bactrosaurus johnsoni,100.5,66
Laiyangosaurus youngi,83.6,72.1
Barsboldia sicinskii,72.1,66
Rhinorex condrupus,83.5,70.6
Eotrachodon orientalis,85.8,83.5
Lapampasaurus cholinoi,83.5,66
Aquilarhinus palimentus,83.5,70.6
Yamatosaurus izanagii,70.6,66
Trachodon imperfectus,,
Trachodon atavus,,
Kazaklambia convincens,89.8,83.6
Adelolophus hutchisoni,83.5,70.6
Tsintaosaurus spinorhinus,83.6,72.1
Magnapaulia laticaudus,83.5,70.6
