taxon_name,firstapp_max_ma,lastapp_min_ma
Chilesaurus_diegosuarezi,86.1,79
Eocursor_parvus,135.3,124.80000000000001
Wannanosaurus_yansiensis,4.599999999999994,0
Colepiocephale_lambei,17.5,4.599999999999994
Foraminacephale_brevis,17.599999999999994,4.599999999999994
Gravitholus_albertae,17.5,4.599999999999994
Alaskacephale_gangloffi,4.599999999999994,0
Amtocephale_gobiensis,34.5,17.599999999999994
Hanssuesia_sternbergi,17.599999999999994,6.099999999999994
Tylocephale_gilmorei,17.5,4.599999999999994
Acrotholus_audeti,19.799999999999997,17.5
Tianyulong_confuciusi,101.69999999999999,84.80000000000001
Goyocephale_lattimorei,20.299999999999997,0
Sphaerotholus_goodwini,17.5,4.599999999999994
Sphaerotholus_buchholtzae,6.099999999999994,0
Sphaerotholus_edmontonense,17.5,0
Prenocephale_prenes,6.099999999999994,0
Stegoceras_validum,17.599999999999994,4.599999999999994
Stegoceras_novomexicanum,17.5,4.599999999999994
Homalocephale_calathocercos,6.099999999999994,0
Pachycephalosaurus_wyomingensis,17.5,0
Serendipaceratops_arthurcclarkei,56.459999999999994,46.03
Albalophosaurus_yamaguchiorum,63.400000000000006,59
Micropachycephalosaurus_hongtuyanensis,23.799999999999997,17.599999999999994
Psittacosaurus_amitabha,66.9,59
Psittacosaurus_xinjiangensis,73.80000000000001,34.5
Psittacosaurus_gobiensis,59,47
Psittacosaurus_lujiatunensis,64,56.459999999999994
Psittacosaurus_sinensis,59,47
Psittacosaurus_neimongoliensis,79,34.5
Psittacosaurus_sibiricus,63.400000000000006,47
Psittacosaurus_meileyingensis,59,47
Psittacosaurus_mongoliensis,79,34.5
Liaoceratops_yanzigouensis,64,59.45
Asiaceratops_salsopaludalis,33.599999999999994,27.5
Beg_tse,39.3,27.900000000000006
Archaeoceratops_oshimai,46.03,43
Archaeoceratops_yujingziensis,59,47
Aquilops_americanus,43,33.599999999999994
Auroraceratops_rugosus,46.03,43
Yamaceratops_dorngobiensis,20.299999999999997,6.099999999999994
Yinlong_downsi,97.5,91.30000000000001
Stenopelix_valdensis,79,74.19999999999999
Xuanhuaceratops_niei,97.5,79
Hualianceratops_wucaiwanensis,97.5,91.30000000000001
Chaoyangsaurus_youngi,84.80000000000001,66.9
Graciliceratops_mongoliensis,34.5,17.599999999999994
Magnirostris_dodsoni,17.599999999999994,6.099999999999994
Protoceratops_hellenikorhinus,17.599999999999994,6.099999999999994
